id,platform,text,label_binary
H160,xhs,ai刚出来的时候，绘画领域的人都在抵制，就是因为生成出来的根本就不是他自己的东西，是偷了别人东西融出来新的。现在侵权到普通人身上，大家才发现这个东西本来就是很严重的侵权。最早一批在抵制的人，还是一直在被嘲讽被进步了替代了，现在这个东西到了众人身上，大家才反应过来侵犯人权。,0
H083,tieba,工业化？农业化！,0
H209,zhihu,现在笑话哥布林，以后这些哥布林就要霍霍我华夏大地了??，所以在恋爱阶段还是争取清出国门，留下的哥布林也争取抹杀掉,1
H248,zhihu,黑东北的广东第一名,1
H018,tieba,与时俱进嘛，成长了,0
H231,zhihu,黑人的好人大多在电影里，坏人在现实中。,1
H367,wb,多新鲜，让他也复活来维权吧哈哈哈哈哈哈哈,0
H281,zhihu,我没有老攻??????,0
H192,xhs,地域歧视咋怼啊,0
H285,zhihu,我是青海的，确实很少被黑。不过，我想说，青岛那个海叫黄海。,0
H124,xhs,很喜欢现在小红书的氛围，外星人也可以畅所欲言,0
H273,zhihu,你是汉族吗,0
H337,wb,素质真低,1
H181,xhs,商家永远别跟买家说实话，无奸不商,1
H351,wb,你没听过他几年前在粉群里骂大粉的录音吗，也很炸裂，还被粉丝告了，法院还判他赔偿和道歉。,0
H389,wb,图她想唱这首火的歌啊 她自己没几首啊 只能唱翻唱啊 她跟公司一头的 你别傻了,0
H014,tieba,尬黑，意思是韩女正常哺乳都不行吗？,0
H259,zhihu,虽然黑人唱Rap比国内的rapper们正宗些，但本身这种音乐形式就偏小众，不存在什么特殊的享受吧,0
H102,xhs,悄悄说其实我觉得马思唯前女友和她是同一种赛道的 人家现在都混到娱乐圈里了 再看看咱奶,0
H219,zhihu,你们东北人最自卑了,1
H020,tieba,描述太温柔了,0
H128,xhs,其实很可以，可以当特殊演员,0
H208,zhihu,别再问孩子的爸爸是谁，爸爸是在这个迪厅认识的，孩子是在这个迪厅怀上的，这个孩子就是大家的孩子，抓好脐带妈妈要开始蹦了……,1
H346,wb,双标这一块，等下就有人来骂你了，卖女贼，bro 你 一点都不尊重女性，bro 你怎么敢假定一个人的性别啊？搞女性歧视的坏 bro，来不来月经啊你？谁教你喊女性 bro 的,1
H109,xhs,我知道！可以演三体2,0
H357,wb,可是我有跟我偶像合影也，在澳大利亚的演唱会呢，你要看合影吗？嘻嘻，我可以私信你哦！,0
H392,wb,哈哈哈哈哈,0
H310,wb,哈哈我从来不买火车上的东西，不提供你以为，为难到我了嘛！还是难道你这个不能自理的巨婴…哈哈哈哈哈,1
H262,zhihu,学好马克思主义回去建设你的祖国！,0
H191,xhs,你好，你会骂人吗，我需要回怼别人,0
H063,tieba,谈恋爱也就算了，找老婆还找强势脾气的纯属自杀,1
H299,zhihu,不好意思 我家庭完整 且很幸福,0
H118,xhs,演残障儿童长大后的样子很合适，是特型演员,1
H244,zhihu,上海人不就那样吗？,1
H270,zhihu,属实是叠buff了,0
H330,wb,我打个游戏想做一下游戏任务都偶尔会刚开局就发现任务道具忘带了，被迫打完再开一把，不像姐姐这么聪明，一定是一辈子都不会犯错不会忘事的圣人吧哇塞，这么完美的圣人生活在我身边呢，我太荣幸了捏??,1
H139,xhs,美国有个叫51区的艺校听说偏好这种特长生,0
H072,tieba,好幸福，喜翻儿喜翻儿,0
H196,xhs,不是拿ai贬低我喜欢的画手 拿ai侵权嘲我喜欢的配音演员维权小题大做的时候了“没有嘲贴主的意思，感慨一下终于有更多人抵制这无良ai了”,0
H253,zhihu,跪族篮孩居然歧视黑人，好奇怪的现象。,1
H225,zhihu,找黑人作男朋友的女生真的应该好好调查，踩雷机会太大，珍惜自己，善待亲人。,1
H106,xhs,小红书还是太先进了，都能看到火星人艺考了,0
H013,tieba,复印还得是你们txl厉害，搁知乎上一复制来这一粘贴就把正常人的智商否定了，就那两个赞的文章谁信谁才智商有问题,1
H390,wb,他确实眉眼很好看,0
H062,tieba,所谓“女生文科强，男生理科强”的刻板印象是咋出来的？我就特别的偏理科,0
H103,xhs,她说过想唱不一样的歌想表达不一样的心情感受  以为自己会是另类 没想到不伦不类  想学欧美范 比如miley cyrus 可人家是有创作能力的 有实力另类的,0
