id,platform,text,label_binary,split
H000,tieba,"""恶性踢裆犯规，这种人就应该永久禁赛""""格斗""""ufc""""ONE冠军赛",1,val
H001,tieba,**什么都要男的干女的活着干什么,1,train
H002,tieba,“不仇女未必能让女拳消失，但是仇女一定不能让女拳消失，甚至会反向壮大女拳”中华大地压迫了女性几千年，也没有出现过女拳这种物种，可见女拳也不是仇女壮大出来的，而是平权放任出来的,0,train
H003,tieba,lz你没看完原贴，原贴还说这女的有精神类疾病。判四个月，这会儿已经放出来继续祸害了,0,train
H004,tieba,阿哲，好像陈浩民张卫健吴彦祖古天乐尹正他们的帅我挺欣赏的，至于现在的娘炮，对不起那些女拳拿这些娘炮当例子还说人家嫉妒，真是笑大牙了,1,train
H005,tieba,别，黑的血肉我想想都恶心,1,train
H006,tieba,别故意挑起吧友仇恨对抗，你嫁黑人就算了，别怂恿别的女孩和黑人谈恋爱,1,train
H007,tieba,不是说在意的只是态度吗？这态度不是有了吗？为啥还被骂？,0,train
H008,tieba,吃饭也是人的弱点，要不咱饭也别吃了？,0,train
H009,tieba,此人品行恶劣，但一个人不能代表几十亿人。,1,train
H010,tieba,答案是殴打，是殴打！,1,train
H011,tieba,抖音可能是视频推荐的问题，看到的大多数视频要么是劝女性清醒的，要么是喷她们的。总之男性起码55开,1,val
H012,tieba,饭桶皆深柜，不敢直面自己的内心,1,train
H013,tieba,复印还得是你们txl厉害，搁知乎上一复制来这一粘贴就把正常人的智商否定了，就那两个赞的文章谁信谁才智商有问题,0,train
H014,tieba,尬黑，意思是韩女正常哺乳都不行吗？,1,train
H015,tieba,给爷笑乐了，逻辑谬误一堆。1.诉诸人身，看不到皇帝的新衣就是因为你蠢。2.性别虚无主义的不当类比，否认了性别的自然性，说什么公马公牛也是男的。3.自相矛盾，否认了性别的自然性后，可是却又在论据中加入“男性的大脑理性能力强”，而大脑的物质基础乃是自然性。4.丝毫不懂哲学，且非要轻率概括。道家中老子的《道德经》不是唯理主义吗？为何到了他这里就成了都是经验主义？5.滑坡谬误，每个论据都被夸张说明，且最后逻辑狗屁不通。,1,val
H016,tieba,归根究底，广大普通女性若是靠近普信男，会不幸。这是最正确的结论。,1,val
H017,tieba,国内女性想要反抗男权压迫最好的方法就是做子宫摘除手术。这种手术能帮你鉴别你的男朋友是爱你还是拿你当生育工具。祝中国女性早日摆脱男权压迫。我现在就希望中国女性放过中国男性，不要变喝血边骂了。你们直接做子宫摘除手术，不就可以远离男权的生育机器化吗？,0,train
H018,tieba,与时俱进嘛，成长了,0,train
H019,tieba,赚流量而已,0,train
H020,tieba,描述太温柔了,0,train
H021,tieba,很讨厌他们学校,0,train
H022,tieba,记得看过一本隐喻黑人的悬疑小说，揭示了黑人的丑恶嘴脸，主角好像叫肖万来着，还是肖旺,0,train
H023,tieba,既然有人搭台，你为何不上去唱戏？借假人夺真利，不是美事一桩？,1,train
H024,tieba,看到你这帖子，确定你就是***媚嘿奴隶了,0,train
H025,tieba,看来同性恋只知道污蔑他人了,1,train
H026,tieba,看了几天帖子，反同人士除了通篇常见的几句‘txl不正常’类似的话，具体措施，如何实施，实施所需占用的社会资源，实施成效等，都没看见你们有什么想法呢。饭桶就只是口头上的吗，让我很失望。,1,train
H027,tieba,可能因为是鸡汤吧，向着男性说话的，或许会叫鸭汤。能毒死鸡的汤当然就是毒鸡汤咯。,1,train
H028,tieba,老外很老，一般发育早，在它家乡可能有老婆孩子了。20多岁相当于人类30、40岁夹你，你别回复评论。永远也改不了黑猩猩劣质人的性质。全世界都不欢迎黑，即是到了美国政治正确的国家，也不要你们，马上遣返回老窝。,1,val
H029,tieba,连说说也不准？黑吹好猖獗,1,val
H030,tieba,满口空话从来不拿出证据。除了意淫就是意淫,1,train
H031,tieba,盲目移民很正常？欧洲都深受其害，禁止移民难民,1,val
H032,tieba,没脑子容易被洗脑。美颜效果和视频把自己修图成美女，然后认为自己就是这么美想想就是什么货色,1,train
H033,tieba,姆??老是先开团，真的可怜，没事就骂男性。,1,train
H034,tieba,幕刃应该把他自己和女性割裂开,1,train
H035,tieba,那个机器到底是为了让男人体谅女人，还是为了一群智障猎奇？这是个重要的问题……,1,val
H036,tieba,男权吧老哥们还是比较理智哦，这要是男的发女权吧，可能已经让骂死了,1,train
H037,tieba,男人就该尊重女性,0,train
H038,tieba,男人是被社会上层打压的奴隶，而女人只是奴隶的仆人，这就很有意思了，男人总是抱怨社会的制度，女人总是抱怨男人占有了她的权利。现在所谓的新时代女性，不过是想从奴隶的仆人位置中跳脱出来，想和男人一起做奴隶。等到新时代女人完全有了和男人差不多的权利，女人也会和男人一样抱怨社会制度。毕竟阶级上层控制着奴隶，制定规则和掌握着奴隶们的资料，下层的奴隶只能遵守规则活活被剥削，上层贵族在享受生活，下层奴隶在受苦受难。,0,train
H039,tieba,男生的钱也是钱，男生的钱男生自己花！抵制舔狗，拒绝上贡！经济自主！,1,train
H040,tieba,你好像一个清朝老僵尸，在这挖坟抛尸，别恶心大伙了,0,train
H041,tieba,你们同性恋不包容反同可以拉黑对方龟缩在家里不见人见光就可以了，你们同性恋不需要来这个吧，有拉黑功能可以让你们逃避现实活在自己的世界里。同性恋太丢脸太恶心了一定要拉黑回避正常人。反同是正常的逃不逃避拉不拉黑你们也是正常的但你们同性恋是不正常的不能见人见光所以需要拉黑我们反同才能逃避现实活在自己的世界里。,1,train
H042,tieba,你凭什么假定这位男士的x别？你怎么知道他不是生理上的男x，心理上的女x。照这么说的话，她应该是通讯录才对。,1,train
H043,tieba,你踏嘛的是不是觉得你的白叠就应该理所当然的在那,1,train
H044,tieba,你眼瞎啊，是没摆放标志罚款,1,train
H045,tieba,你知道吗我是女生这四个字很普通但是可以强调就很恶心你是女生怎么了？就tm好像谁不是女生的似的你是女生怎么了？你就高级有特权呗？傻逼,1,train
H046,tieba,您如此高傲的挑衅全体人民的行为可真是让人始料未及呢,0,train
H047,tieba,奴隶姐，你又来啦？,1,train
H048,tieba,努力蛆被嘿玩意骗后，身染艾病，疯狂报复同胞，看到嘿玩意犯罪强力证据后经常装瞎，一有说嘿玩意不好的就神经错乱强行狡辩，吧友从没把它当回事,0,val
H049,tieba,女人因为生理因素比男人劣等，什么时候她们才能接受这一点看看残酷的现实吧,1,train
H050,tieba,凭什么女的能扭男的就不行,1,train
H051,tieba,破坏中非友谊，把你抓起来,1,train
H052,tieba,让她生下来，在分，不要说残忍，女人背着你跟别人的时候从不想这些。,1,train
H053,tieba,人家发个表白墙碍着打拳什么事了？现在大学里男生果然变态很多呀，还偷拍别人，建议报警,1,val
H054,tieba,杀不尽的舔?,1,train
H055,tieba,杀了人还嬉皮笑脸，可见这人心里极其残忍。,1,train
H056,tieba,山东的名声彻底被这些高校领导给搞臭了，而且至今仍不知悔改，可悲,1,train
H057,tieba,什么女用洗衣机，这就把我的臭袜子塞进去,1,train
H058,tieba,生下来做个鉴定就好了，不怕一万，就怕万一。怕的就是乌龙做了坏人,1,train
H059,tieba,圣母不会认识到自己坚持的观点有多么荒谬的。到时候圣母还是会指责我们不善待黑大爷，没有给黑大爷更多的权利以及超国民待遇才会导致它们闹分裂。,1,train
H060,tieba,事实就是这样，很多女人天天被家暴，被揍得鼻青脸肿什么似的，到处抱怨自己的不幸，但就是不离婚，反过来被男的捧在手心娇着惯着的每天就各种不满说男的不好动不动闹离婚还对男的上演家庭暴力。这就是?,1,train
H061,tieba,首先我们应该先搞清楚通讯录骗婚的目的。有很多通讯录宣传说同性恋骗婚都是被父母逼的。这根本是错误的。因为现在的经济制度下，社会结婚率每况愈下，都快成为社会问题了。这说明外部的结婚压力已经没有大到必须要骗婚的程度了。这说明通讯录骗婚不是被父母逼的，而是其本身有生殖的欲望，又怎么能说同通讯录骗婚是被父母逼的呢？只要代运没有合法化，通讯录为了其本身的生殖欲望而进行的骗婚就不会停止。而代运作为一种对女性的物化是具有很大的弊端的，怎么可能随便通过？且通讯录是否是正常的，其成因到底是什么都没有一个结果。又怎能随意给其养育孩子的权利？而且即使通讯录是正常的，就拿他们庞大的基数来说哪来那么多人给他们代孕？比起骗婚问题代孕问题更加重要。想通过代孕来解决骗婚不过是从一个小问题变成了一个大问题。与其通过妥协来解决骗婚问题倒不如解决通讯录本身，通过限制通讯录宣传，加强对通讯录的监督，自然能够解决骗婚问题。而不是本末倒置的去允许其获得更大的社会权益，进而增加更多的社会矛盾。,1,train
H062,tieba,所谓“女生文科强，男生理科强”的刻板印象是咋出来的？我就特别的偏理科,1,train
H063,tieba,谈恋爱也就算了，找老婆还找强势脾气的纯属自杀,1,train
H064,tieba,提议女方婚前支付五年个人收入做彩礼，不然女性不懂珍惜婚姻,1,train
H065,tieba,贴吧分吧，不同的吧有不同的氛围。而且贴吧一般不火的吧你也刷不到。贴吧其实是最容易报团的，但是感觉反倒男性势力较弱。除了个别男性吧外，很难在别的涉及男女问题上男性的反抗,1,val
H066,tieba,停下吧，快停一下吧，让智商回来。反同到底有什么意义？反同是因为什么？你们真的有想清楚吗？说什么啊，这是不孝，那是人家的家事，关你何事？说什么欺骗他人，欺骗他人的是个人，不是群体，搞清楚一点。到处网暴别人，我觉得主要原因就是因为你们现实生活过得不好，所以才要去网暴那些其他过得比你们更不好的人。,1,train
H067,tieba,我就是女的，我讨厌杨笠,0,train
H068,tieba,现在年轻人为了结婚，买房，买车，养孩子，掏空家里全部积蓄，阶级的固化让年轻人上升空间变的越来越小，大部分人都碌碌无为一辈子，生活压力巨大，越大型的城市压力越大，重压之下人本能的就会逃避，会不会变成日本那样，年轻人选择佛系生活，轻轻松松过一辈子。,0,val
H069,tieba,植物也会开花结果，你们同性恋的爱有什么结果？结果是艾滋。同性恋有什么爱情结晶？爱情结晶是hiv药。同性恋同婚有什么意义？意义就是互相传播艾滋上天堂,0,train
H070,tieba,抓虫大战，人人有责,0,train
H071,tieba,呼叫腕豪！,0,train
H072,tieba,好幸福，喜翻儿喜翻儿,0,train
H073,tieba,说明一下，我只关爱自己身边的女性，比如老婆女儿等，别的女人关我鸟事。v,0,train
H074,tieba,应该多科普,0,train
H075,tieba,猪猪挺可爱的,0,train
H076,tieba,感谢的太早了吧！多希望莆田的欧某死之前知道人间是有温度的。,0,train
H077,tieba,这样的假设，现实中并不存在或极端罕见,0,train
H078,tieba,吧主是重庆的啊，你们那儿也算是重灾区了吧,0,train
H079,tieba,为什么要管啊，这是人家私事吧，求救了吗再说你这两张图?都看到好久的贴了,0,train
H080,tieba,上海朱家角,0,val
H081,tieba,当时那个清华腚后面看监控也反转了，所以别去信小作文,0,train
H082,tieba,中国用不了多久稳稳立于公交车行业中心，做公交车龙头企业，坚持做到一车多用，多车一用，废旧公交车循环再利用，做到每一辆车都充分利用，公交车行业必定立足于世界中心,0,train
H083,tieba,工业化？农业化！,0,train
H084,tieba,动物一胎生的数量大，注定竞争更激烈,0,train
H085,tieba,呃呃什么大代表?,0,train
H086,tieba,你要的证据来咯。毕竟我们不会乱造谣别人,0,train
H087,tieba,如题，谁去接一下这个拳法,0,val
H088,tieba,玩了孤岛惊魂再看这个帖子只能说真的太味了,0,val
H089,tieba,哈哈，好可怜,0,train
H090,tieba,我还是觉得保加利亚妖王顺眼多了,0,val
H091,tieba,日本为何分区实行，不一起呢,0,val
H092,tieba,被屏蔽了？,0,val
H093,tieba,反变态吧吧名简洁明了，一看就懂,0,train
H094,tieba,无论是有话可说，还是无话可说，遇到这类相亲对象，迅速抽身才是最佳的选择。不要恋战，更不要试图纠正对方错误的地方，因为这只会让你感觉到更加的无奈。毕竟一个人普且信是长久以来对自我的认知，不是你三言两语就能够让他认识到问题所在。与其在没有意义的事情上浪费时间，不如和更有意思的人结识。事实上，普通且自信，不是只有男性，女性也有，这无关于性别，而且一个人对自我认知的误解。,0,val
H095,tieba,喜欢我香香酱嘛,0,train
H096,tieba,图灵还要什么争议？帮助祖国和世界战胜了法西斯，然后却被自己的祖国迫害，悲剧自杀，图灵是反同碰不得的,0,train
H097,tieba,我男的，我去女权吧发过言，评论被秒删并被禁言，我想知道男权吧为什么不这样做,0,train
H098,tieba,世界卫生组织周三建议男同性恋者及双性恋男性限制其性伴侣的数量，以避免自身感染猴痘及帮助降低该病毒的传播速度。世卫组织猴痘专家罗莎蒙德·刘易斯表示，男男性行为群体目前有着最高的猴痘病毒感染率。目前的感染案例中，有99%的感染者为男性，这些患者中又有95%发生过男男性行为。,0,val
H099,tieba,论豪腕的重要性,0,train
H100,xhs,可以的 现在流行猴系长相,1,train
H101,xhs,比那个谁还像自行车座位哈哈哈哈哈哈哈哈哈哈哈哈哈,1,train
H102,xhs,悄悄说其实我觉得马思唯前女友和她是同一种赛道的 人家现在都混到娱乐圈里了 再看看咱奶,1,train
H103,xhs,她说过想唱不一样的歌想表达不一样的心情感受  以为自己会是另类 没想到不伦不类  想学欧美范 比如miley cyrus 可人家是有创作能力的 有实力另类的,1,train
H104,xhs,早点发好了，斯皮尔伯格看到你不用做特效了,1,train
H105,xhs,可以 跟那个十袋少年团的队长挺像的。,1,val
H106,xhs,小红书还是太先进了，都能看到火星人艺考了,1,train
H107,xhs,可以演真正的外星人 这种角色稀缺你肯定能考上,1,train
H108,xhs,bro脸部已经成为胶头滴管了，可以转战篮球区了,1,train
H109,xhs,我知道！可以演三体2,1,train
H110,xhs,以前是专门有人给她搭配的，后来没了就回归了电动车穿搭,1,val
H111,xhs,可以把头掰下来给我当吉他拨片用一下吗，全弄丢了新买的在路上，这个头真的太合适了,1,train
H112,xhs,艺考外星物种第一人，前途绝对对大大滴好,1,val
H113,xhs,华晨宇最起码有原创的几首歌蛮好听的哈哈哈，这个是啥啊，她自己原创的歌至今没有破圈过,1,train
H114,xhs,按今年春晚机器人的出镜率来说你这样绝对很吃香啊,1,train
H115,xhs,在外星人里也算个美男子,1,train
H116,xhs,三妹哦 外星人哦,1,train
H117,xhs,我觉得你适合去重庆某个神秘地方，那里有你的同类,1,train
H118,xhs,演残障儿童长大后的样子很合适，是特型演员,1,train
H119,xhs,你说的太对了哈哈哈哈，有人扒她视频，发现她是个过敏专业户,1,train
H120,xhs,以后演星际片肯定很抢手,1,val
H121,xhs,原来交大运的运是好孕的孕啊[超喜欢R],1,train
H122,xhs,如果是外星人艺考有机会的,1,val
H123,xhs,建议进击演艺圈。演熊出没那个瘦的反派,1,val
H124,xhs,很喜欢现在小红书的氛围，外星人也可以畅所欲言,1,train
H125,xhs,可以的。可以演很多特型角色。,1,train
H126,xhs,可以的，折叠度无敌，就是五官中的嘴巴需要缩小，鼻子需要扩宽，好奇你们星球是用耳朵后面的鳃呼吸吗,1,train
H127,xhs,哥们你长这样上春晚啊，机器人的节目你都能当替身哈哈哈哈哈哈,1,train
H128,xhs,其实很可以，可以当特殊演员,1,train
H129,xhs,他就是一米六左右，他说了他的短期目标是长到170，医学奇迹,1,train
H130,xhs,吃香的，真人版外星人??,1,train
H131,xhs,P成车座子狗了就是那个灵缇拟人化了哈哈,1,train
H132,xhs,哈哈哈哈宝你好可爱！我去陕西旅游过，山美水美人好美食多！是还想再去的地方～ 对了，田小草就别去了，就在家呆着吧，她去哪都不配。,1,train
H133,xhs,可以，以后专门演青铜器拟人,1,train
H134,xhs,瓜子脸啊，瓜子挺好吃的,1,train
H135,xhs,这个长相可以吃香蕉,1,train
H136,xhs,挺帅的，兄弟你参加哪个星球的艺考啊,1,train
H137,xhs,我的妈呀，女版华晨宇,1,train
H138,xhs,香的博主，现在航天发展快，你可以拍外星交流片,1,train
H139,xhs,美国有个叫51区的艺校听说偏好这种特长生,1,train
H140,xhs,哈哈哈哈哈哈直接外星人长相,1,val
H141,xhs,英子感觉也很奇怪[完啦R]，就是感觉她想擦边但是她脸和身材让人没法相信在擦边,1,train
H142,xhs,是在cos哈利波特里的多比吗好像啊,1,train
H143,xhs,哈哈哈，为什么要给自己P成墨西哥玉米片,1,val
H144,xhs,bro皮燕子比我用了十年的皮筋还松,1,val
H145,xhs,她在演日本那个女鬼？[尬住R]  但是 y1s1，曲调比之前的版本听着和谐一些，就是这个舞美…,1,val
H146,xhs,就这还国家级演员 哈哈哈哈,1,train
H147,xhs,可以，演et不用化妆的程度[嘻嘻R],1,train
H148,xhs,外星人走艺考很有特色的,1,train
H149,xhs,这个长相外星艺考应该挺吃香的,1,train
H150,xhs,ai真恶心,0,train
H151,xhs,ai生成就是小偷,0,train
H152,xhs,老早之前就在抵制了，压根没用，全是侵权，国内是真的不尊重版权艺术设计绘画都融烂了。一堆人还洗,0,train
H153,xhs,不受法律约束的ai只是一个资本用来剥削普通人的利器，我不讨厌ai，但我必须抵制利用ai侵权的资本以及其产生的附带产品，为我自己，顺便也为他人。,0,train
H154,xhs,真服了想要数据就自己弄，凭什么盗用别人的？这群小偷。你就看你发哪个平台了，哪个平台发的，哪个平台打包卖的。不可能随随便便的把你的东西投进去，你肯定是哪个平台卖的，,0,train
H155,xhs,最惨的就是普通人了，不仅要被ai盗用，安排的还基本都是恶臭坏角色,0,train
H156,xhs,建议禁ai，现在ai好恐怖，长相和声音都ai,0,train
H157,xhs,17.喜欢我不是很正常吗 我丑陋又恶毒 又很会搞抽象 又不正经又没爱心 又没丝毫上进心 试问 谁能抵挡住我的魅力啊,0,train
H158,xhs,偷脸 偷设计 偷声带 偷心血 偷孩子（oc）就这样发展吗 那很有道德感了不觉得这所谓的风口很可怕吗 版权意识为负 这不是投喂ai 是侵占和窃取,0,train
H159,xhs,哈哈哈哈怎么骂人还ln不分,0,train
H160,xhs,ai刚出来的时候，绘画领域的人都在抵制，就是因为生成出来的根本就不是他自己的东西，是偷了别人东西融出来新的。现在侵权到普通人身上，大家才发现这个东西本来就是很严重的侵权。最早一批在抵制的人，还是一直在被嘲讽被进步了替代了，现在这个东西到了众人身上，大家才反应过来侵犯人权。,0,train
H161,xhs,抵制ai,0,train
H162,xhs,支持维权，抵制ai！,0,train
H163,xhs,狠狠告他收他钱，说实话希望有专业团队专门干这个，敲诈我都支持，不然免费的东西人家使劲白嫖，以毒攻毒才能让他们知难而退,0,train
H164,xhs,为啥对自己那么残忍,0,val
H165,xhs,支持，AI被滥用的太恐怖了,0,val
H166,xhs,有钱人都不知道穷人啥样的,0,val
H167,xhs,这就开始攻击人长相了？,0,train
H168,xhs,而且Ai偷脸造谣诈骗大家的时候就完全，今天冤枉你偷李家鸡明天引导你妈骗走一辈子钱（都可以打着艺术创作和个性化服务的慌子,0,train
H169,xhs,我们很多人一年就挣几万，日子过得紧巴巴，演员那么有钱，还敢对我们哭穷，真是太欺负我们穷人了。,0,val
H170,xhs,ai作画，ai小说，ai短剧就是盗窃，抄袭的东西，以为东拼西凑不会被告，但是早晚会被反噬,0,train
H171,xhs,仇富、变成公敌了,0,val
H172,xhs,原来是偷的，再不管都得乱套,0,train
H173,xhs,坚决抵制这种人,0,train
H174,xhs,就这个口气吗？这个表情吗？我真的接受无能，不是好不好看，是这个要吵架的口气,0,train
H175,xhs,相关部门赶紧加急立法呀[完啦R]太恐怖了，拿去违法犯罪怎么办,0,train
H176,xhs,吐槽某件事被骂专业黑怎么办,0,train
H177,xhs,支持维权，我们的“科技进步党”在偷人心血几年后终于开始真正的啖食血肉了。以后搞诈骗的算享福了，ai偷人脸拿去骗就行，等视频生成速度加快，我们的人脸识别也有法子破解了未来都不用做保健品了,0,train
H178,xhs,这么有钱？,0,train
