id,platform,text,label_binary
RND000,xhs,我闺蜜说 可恶心他俩，我来看看,0
RND001,zhihu,没必要因为这扰心的，兄弟，人怎么过是自己的事，别人怎么评论并不会对自己的生活有实质性的影响。而身为gay，我觉得没必要追求周围身边所有人的支持，毕竟同性恋异性恋是有区别的，就像gay对男女感到排斥，异性恋也有接受不了男男 女女。他们说那种话时，是把自己代入了，即发生在他身上时，他觉得很恶心。这是他们的逻辑错误，就像一个素食主义者看人吃肉感到很不可思议，但也仅此而已。就现在国内的环境而言，我觉得gay应该努力打破社会对同性的压迫排斥，这是最重要的，因为这是gay生存的基础，很多很多很多gay都是没办法承受和男友在一起的压力而选择分手，而这种压力来于社会，来于最亲最爱的人。除此之外的问题，我觉得都不是问题。,0
RND002,zhihu,有后续吗??,0
RND003,zhihu,别说羊了。人类和AI之间都能有爱情。你不会连这个也不知道吧？,0
RND004,xhs,被鬼附身了嘛,0
RND005,zhihu,那中国就会失去林虎将军和王德民院士,0
RND006,xhs,nb,0
RND007,xhs,吃人。,0
RND008,zhihu,每个国家每个民族都有那么几个有病的人，但她们不能代表全部,0
RND009,wb,安徽这地方人真恶心，羊羊羊都这样了，还全省保护它门,0
RND010,zhihu,洛阳口音和商丘口音还有信阳口音你能分清嘛,0
RND011,wb,一点不亏，至少没挨打,0
RND012,zhihu,抢占市场外销便宜,0
RND013,tieba,正常人不会嫁给黑人,1
RND014,wb,再去看一下当事人的微博吧，这个报告里有很多不实的地方@勇敢小狐不怕困难,0
RND015,zhihu,这种人三观一般都是有问题的，娶回家就等着鸡犬不宁吧，更别说再遇到老外，戴绿帽的几率无限大??,1
RND016,wb,好啦 纯牛奶不要和他们吵了 这些人连专辑和演唱会门票都分不清，我再说一次勇敢额度黑胶，原价收，甚至可以加价。有要出手的可以私信我。有多少收多少,0
RND017,xhs,出栏了,1
RND018,tieba,的确，是争议,0
RND019,zhihu,也就汉族人不能多生，其他少数民族一样有多生几个的特权。近几年说一千万以上的少数民族跟汉族一样了，结果二胎三胎又放开了。说白了，计划生育就是不让汉族生孩子。,1
RND020,tieba,最早捕捉贩卖黑奴的就是阿拉伯人，而且对于公的黑奴，都是要骟了的,0
RND021,zhihu,富有的地方歧视贫困过来打工的外地人是历来不会改变的。,0
