text,pseudo_label
用头当吉他拨片吗,0
拨片,0
我不行了吧…,0
神指导来的吧,0
我真要笑发财了,0
真人？,0
宝宝你长得不错,0
字字珠玑啊,0
笑死我了,0
我真笑死了,0
啥梗啊,0
外星人??,0
我里天哈哈哈哈哈哈哈,0
我去,0
我草早知道放春晚看了,0
我要笑死了,0
笑死了,0
我不行了,0
人才,0
哈哈哈哈哈,0
蚊子不能进面试,1
《作者赞过》,0
笑死[捂嘴笑R],0
苍蝇可以吗,0
你家电解质水能不能便宜点,0
代言人来惹 报我名字给你原价,0
好幽默,0
什么意思啊哈哈哈,0
绷不住了,0
这个排版太绝了哈哈哈哈哈,0
哈哈哈哈哈哈哈救命,0
我真服了,0
楼上楼下的很适配,0
卧槽，辣眼,0
没事的 想点好的 至少现在火了,0
可曾开过什么飞碟？,0
我服了，我都退出去了特地回来给你点个赞哈哈哈哈哈哈,0
回皇上，江南有二乔，广东汤东东,0
哈哈哈哈哈哈兄弟有点窄,0
你没看过甄嬛传，不懂,0
见过哪些星球的生物？,0
尖尖脸吗,0
还有精灵耳,0
还有小鼻翼,0
不曾开过,0
可以走我们实验室，最近胶头滴管坏了,0
更像pcr管子,0
笑死我,0
哈哈哈哈,0
大哥,0
你好曲筱绡,0
《识别到甜嗓》,0
识别到甜嗓,0
大过年的，小心一会儿别人把你当瓜子儿嗑了,0
俺不中嘞,0
顺嘴的事,0
我草………………………,0
已看过,0
挺帅的，兄弟你参加哪个星球的艺考啊,0
不能吧，看起来不像呢,0
快乐星球,0
可不可以代言一个火星人集成灶？,0
俺们火星没有艺考,0
火星吗？这很好笑了,0
哈哈哈哈哈哈哈哈哈哈哈哈哈火姐两眼一黑,0
不行 火星没有艺考,0
这个好像那个“你已急哭”,0
不行了！,0
可以火星情报局出道哦,0
哈哈,0
我笑死了哈哈哈哈哈哈哈哈哈哈哈,0
外星人,0
参加多邻国,0
哈哈哈哈这也能遇到火姐,0
能给考官留下很深的印象，至于是正面的还是负面的你别管,0
感觉会火，先占个楼,0
应该是侧面的滴管状,0
零秒钟猜出,0
[呃R]考官深不深印象我不知道但网友有了,0
一颗鼻屎足以窒息,0
我不行了。。。,0
笑死人了,0
哈哈哈哈哈哈,0
迟早笑死在评论区,0
可以去江中集团试试应聘试试,0
健胃消食片吗哈哈哈哈哈哈哈哈,0
我笑毁了,0
是不是健胃消食片畅吃,0
帮你查了，不用艺考了，NASA免试就能去,0
哈哈哈哈哈哈哈哈,0
去自行车厂应该很吃香,0
为啥,0
脸是车座子,0
没把下巴批尖还是手下留情了,0
小红书的好处就是外星人也能发帖,0
我去我初中同学也长这样,0
牛,0
难怪我每次都狙不到 原来还有一只在这里,0
哈哈哈哈哈这个好好玩的 就是玩多了头晕,0
谁家自行车坐垫飞了,0
哈哈哈哈你也没放过他,0
是的,0
可否送我几袋试吃,0
主播你代言了辣条吗,0
辣条无需试吃，懂得人自然懂,0
xswl,0
我这里有个钉子，你帮我锤两下。,0
谁有那个“你已急哭”的外星人表情包,0
那是撒贝宁,0
宝宝你长得好像马嘉祺,0
宝宝马嘉祺不长这样哦[不是马嘉祺粉丝],0
震撼首发！还活着吗,0
