text,pseudo_label
抓虫大战，人人有责,0
好久都没有见过那么干净的白人班级了，一个黑乐色都没有,0
呼叫腕豪！,0
事实就是这样，很多女人天天被家暴，被揍得鼻青脸肿什么似的，到处抱怨自己的不幸，但就是不离婚，反过来被男的捧在手心娇着惯着的每天就各种不满说男的不好动不动闹离婚还对男的上演家庭暴力。这就是?,1
对号入座了，茶壶嘴破防了，戳到痛处了心脏不好的都来我这接种预防针,0
受教育程度节节高升，服务业占比节节攀升。都学的是服务专业是吧,0
好幸福，喜翻儿喜翻儿,0
猪头肉哈哈哈哈哈,0
说明一下，我只关爱自己身边的女性，比如老婆女儿等，别的女人关我鸟事。v,0
这不是50w？？？,0
不能呼吸是对的,0
非洲黑人智商70，被学者归类为智障水平。美国黑人混血儿智商85，中非混血儿智商应该徘徊在90左右，妥妥的班里倒数,1
你不会是怕将来你妻子告你强奸罪吧！你放心这项罪名很难取证的，女的一告就众叛亲离被人嘲笑，女的还怎么在家里呆下去，还不如直接告离婚,1
连说说也不准？黑吹好猖獗,1
楼主啊！我记得这是某位普信女写的关于男性的条件吧，改的好，还有，您的帖子里面有条目??，赶紧置顶羞辱,0
只有资本家才能入犹太教当犹太人,0
现实中呢，自古以来哪个黄精灵带头冲格格巫的？就算有也极少。遇到生存危机了反而是黄精灵经常依附于格格巫，造就了后院黄精灵三千的佳话，而蓝精灵在前线送命究竟是谁挡在格格巫前面历史已经告诉我们答案了,0
应该多科普,0
我185，但这幕刃是鲨bee,0
最近挺热闹啊，是不是放暑假的原因使得一些反某某歧视的多了起来,0
能不能回复啊，笑死了，没见过这么嘴硬小胆的fw，是不是待会还要自己精神胜利一把说我不屑于和你说话啊,0
是男挙定义宠女人的男人为狗，什么叫喜欢当狗。,1
所谓“女生文科强，男生理科强”的刻板印象是咋出来的？我就特别的偏理科,1
吧里这几个反同根本没什么能力，反同还得靠同性恋,0
终于可以说话了，这等级限制，这你们叫的“猪腰”是不是就是骂骂咧咧说要去人家学校堵人家的那个?,1
猪猪挺可爱的,0
吃枣药丸??,0
笑死我了智商是硬伤啊,0
贴吧分吧，不同的吧有不同的氛围。而且贴吧一般不火的吧你也刷不到。贴吧其实是最容易报团的，但是感觉反倒男性势力较弱。除了个别男性吧外，很难在别的涉及男女问题上男性的反抗,1
感谢的太早了吧！多希望莆田的欧某死之前知道人间是有温度的。,0
复印还得是你们txl厉害，搁知乎上一复制来这一粘贴就把正常人的智商否定了，就那两个赞的文章谁信谁才智商有问题,1
这波自杀真亏，为啥没把那个评论区的那几个女权们带走。,0
这样的假设，现实中并不存在或极端罕见,0
吧主是重庆的啊，你们那儿也算是重灾区了吧,0
看来同性恋只知道污蔑他人了,1
为什么要管啊，这是人家私事吧，求救了吗再说你这两张图?都看到好久的贴了,0
你还未染艾身亡？你上药多久了？,0
上海朱家角,0
当时那个清华腚后面看监控也反转了，所以别去信小作文,0
人类中智商极端高的通常是红丸觉醒者，他们深刻认识到了母人吸血的本能和生命的雌本位底层代码，所以才把母人当成繁殖和泄欲的工具，或者干脆就是男同。,0
只能怪她没来黑人吧。,1
抖音可能是视频推荐的问题，看到的大多数视频要么是劝女性清醒的，要么是喷她们的。总之男性起码55开,1
艾呀，梅事的啦，疣没什么大不了的，中奖几率为淋，痿什么要担心呢，打个疱而已嘛，下次就不药啦,0
生下来做个鉴定就好了，不怕一万，就怕万一。怕的就是乌龙做了坏人,1
中国用不了多久稳稳立于公交车行业中心，做公交车龙头企业，坚持做到一车多用，多车一用，废旧公交车循环再利用，做到每一辆车都充分利用，公交车行业必定立足于世界中心,0
工业化？农业化！,0
不想跟女人结婚的兄弟可以快乐的一起生活，互助。米格道不婚兄弟互助群,0
动物一胎生的数量大，注定竞争更激烈,0
比如在父母面前抽烟的大孝子行为,0
呃呃什么大代表?,0
来看看蝈女的素质,1
我有一计：让她们出力禁止亲子鉴定短视的人会以为这对女人好，有远见的人会发现这解放了男人,0
这样的人一辈子都不会被人看上吧,0
这个人哪个非洲国家的？,0
你要的证据来咯。毕竟我们不会乱造谣别人,0
如题，谁去接一下这个拳法,0
本来就要征服，哪有靠舔的,0
哈哈哈哈哈笑死我了，籹拳帖子下面全是鸡或麦片的这波叫做产业集聚,0
玩了孤岛惊魂再看这个帖子只能说真的太味了,0
哈哈，好可怜,0
我还是觉得保加利亚妖王顺眼多了,0
如下，一击脱离是真的给异性恋当成武器了，可怜至极,0
日本为何分区实行，不一起呢,0
看图中这个不是反同的，同恋该时候承认是精神病了,0
开除女籍，下一位,0
在所谓“自立自强”中走向极端，然后彻底反智。管中窥豹，略见一斑，权拳二象性实乃真知灼见PS：素材来自吧中某帖一个破防幕刃的主页，欢迎仗义之辈同去屠?,0
老外很老，一般发育早，在它家乡可能有老婆孩子了。20多岁相当于人类30、40岁夹你，你别回复评论。永远也改不了黑猩猩劣质人的性质。全世界都不欢迎黑，即是到了美国政治正确的国家，也不要你们，马上遣返回老窝。,1
被屏蔽了？,0
反变态吧吧名简洁明了，一看就懂,0
无论是有话可说，还是无话可说，遇到这类相亲对象，迅速抽身才是最佳的选择。不要恋战，更不要试图纠正对方错误的地方，因为这只会让你感觉到更加的无奈。毕竟一个人普且信是长久以来对自我的认知，不是你三言两语就能够让他认识到问题所在。与其在没有意义的事情上浪费时间，不如和更有意思的人结识。事实上，普通且自信，不是只有男性，女性也有，这无关于性别，而且一个人对自我认知的误解。,0
您如此高傲的挑衅全体人民的行为可真是让人始料未及呢,1
喜欢我香香酱嘛,0
妇女权益保障法（修订草案）征求意见正在进行中，大家有意见赶紧去提！,0
饭桶皆深柜，不敢直面自己的内心,1
小仙女日常精神病,0
说给爷爷听，他们三个什么时候p过你的图？,0
图灵还要什么争议？帮助祖国和世界战胜了法西斯，然后却被自己的祖国迫害，悲剧自杀，图灵是反同碰不得的,0
没事，不是说舔狗很多吗？幕刃召唤舔狗就算了,1
我男的，我去女权吧发过言，评论被秒删并被禁言，我想知道男权吧为什么不这样做,0
它们只会骂中国男性，??跌跪舔还来不及呢,1
混血，眼睛是蓝色，混了白皮猪的血,0
给大家看看他是如何在背后阴阳怪气说我们,0
人家把你弄舒服了你还告他，这750万就当作营养费,0
世界卫生组织周三建议男同性恋者及双性恋男性限制其性伴侣的数量，以避免自身感染猴痘及帮助降低该病毒的传播速度。世卫组织猴痘专家罗莎蒙德·刘易斯表示，男男性行为群体目前有着最高的猴痘病毒感染率。目前的感染案例中，有99%的感染者为男性，这些患者中又有95%发生过男男性行为。,0
男权吧老哥们还是比较理智哦，这要是男的发女权吧，可能已经让骂死了,1
姆??老是先开团，真的可怜，没事就骂男性。,1
论豪腕的重要性,0
黑人乐园，快手上全是,0
确实，这点得学着人家小棒子,0
先解决孩子安全问题再说吧，基佬炼铜是人尽皆知的,0
用“是否”不准确，应该用百分比,0
这算啥啊，有的人喷就就喷呗，喷了又不对喷，直接拉黑，有够搞笑的,1
“阳刚”之气罢了,0
有吧友知道吗？能细说这件事的过程吗？,0
正常人还是占大多数的，那些热评是什么成分大家都懂吧,0
n死了没有,0
笑死我了，少说一句不会死，发个帖也不会长命百岁,0
看到你这帖子，确定你就是***媚嘿奴隶了,1
你们同性恋不包容反同可以拉黑对方龟缩在家里不见人见光就可以了，你们同性恋不需要来这个吧，有拉黑功能可以让你们逃避现实活在自己的世界里。同性恋太丢脸太恶心了一定要拉黑回避正常人。反同是正常的逃不逃避拉不拉黑你们也是正常的但你们同性恋是不正常的不能见人见光所以需要拉黑我们反同才能逃避现实活在自己的世界里。,1
你不会把qq号发出来吗？,0
女的啊，那没事了,0
国人为什么崇洋媚外？因为我们从小就被这样教育的，外国人比中国人好，比中国人强。而小学女生比男生学习更好，学的更深入。哪里见了外国人不去死贴啊？结果黑人也是外国人，国人都想去做朋友，结果男的被骗钱，女的被艾滋加骗钱。,1
谁申请吧主好呢,0
我以前是同性恋后面喝中药调理好了，药方如下:柏子仁二钱半、白蔹二钱、白术三钱半、桂心一钱半、附子一钱。用法:蜜制丸，每日早中晚饭前各服3~5丸(约3~5克)，一律白开水服下，服药期间每晚用热水洗，浸一二分钟更佳，一般服用十天后约可对同性器官感到厌倦，恢复对女性的喜好。,0
我是否可以认为，你说的是废话,0
被大姐举报没了正义的百度,0
一眼丁真，能不玩这种p图恶搞了吗，整点正能量的,0
哇哦，解锁孕妇play了,0
……丢我俩室友说透的时候没叫算不算细节,0
冲，我们今天都是肖万,0
女孩泛指0~18岁的女子过了18岁叫妇女，结了婚叫声阿姨女士不过分吧,0
什么女用洗衣机，这就把我的臭袜子塞进去,1
而且视频中对其他异性恋企鹅的描述也显示其别有用心,0
这下总结的挺正确的捏,0
异性恋属阳，是正常的，同性恋属阴，是不正常的,0
谢谢ys让我更加坚定了单身下去的决心,0
这个鸡佬，喜欢精神胜利，是一个辣鸡，真是笑死人,0
怼女拳的角度多了图里这位说的跟你说的没有冲突,0
真的牛批嗷,0
我感觉正好相反，楼主应该多了解普通女生的诉求，少看一些极端言论,0
属于是因噎废食了,0
杀软谐音，狗才用,0
别哪天跳楼了。,0
现在欧洲就是西欧北欧难民多,0
我直接承认我不是男人,0
您说的有点客观。,0
黑人到底是发明了足球或者蹴鞠这项运动呢？还是参与了最初游戏规则的指定呢？都没有吧。,0
和我们有关系吗？兄弟,0
无论如何也该管一管,0
那还有假，这些黑醋最喜欢做的事就是伤害别人，干违法乱纪的事,1
黑色不符合中国人的审美观！！！,1
发不出来，感兴趣可以去知乎搜同名文章,0
这问题让我明白为什么基佬在唐山不会被打。基佬染艾原来是为了防身！,0
处情的和处情的在一起其他人和其他人在一起互不相干多好。（这是一个理想状态，楼主他的假想也是他的理想状态，都不可能实现）,0
现在喜欢偷窥南人上厕所，真是从小边台到大。,1
最离谱的是冒着风险跟他媳妇儿pp还生孩子了他是什么nt这跟医院检查有什么关系他在不确定风险的情况下跟媳妇儿pp不就是对他媳妇儿的不尊重吗也没给他媳妇儿当个人啊他媳妇儿不过是个繁衍工具罢了吧不先想想能不能对得起媳妇儿紧着转移话题赶紧离了得了,0
这个鸡佬，喜欢精神胜利，是一个辣鸡,0
吃饭也是人的弱点，要不咱饭也别吃了？,1
现在年轻人为了结婚，买房，买车，养孩子，掏空家里全部积蓄，阶级的固化让年轻人上升空间变的越来越小，大部分人都碌碌无为一辈子，生活压力巨大，越大型的城市压力越大，重压之下人本能的就会逃避，会不会变成日本那样，年轻人选择佛系生活，轻轻松松过一辈子。,1
就算y染色体消失了男性也不会消失，参考蜜蜂后来靠染色体倍数来区分性别，环境影响下，且不论人类能否延续到y染色体消失的时候，到时候基因的改变就不是依靠y来区分男女了,0
如果真要追求真理那就是非常严格科学定义从来就不认它们是人类那么它们按照非常严格科学定义全球反它们救自家民族当然本身都没有错那么按非常严格科学定义它们不是人类那么更何谈重族毕竟放眼全球只要是人类都不希望家里时刻还要毁灭自己家与过和自家民族的野生动物存在嘛！对于它们根本不存在什么重族主义而是对于它们来说全球对于它们只存在对这一野生动物的生物物种彻底的正视。,0
这就有点病态了，,1
在中国同居，按照外国的法律来判，你去试试，你看大使馆理你不,0
给他脸了，这不110,0
图里都是外国7年级的学生，相当于12、13岁的小孩。请问这个金发双马尾戴眼镜白人小女孩的大概是哪个白人种族的，在白人里算漂亮吗？因为电影里都算是一群小孩子（13岁左右），所以应该都是素颜的，而且年龄太小也应该不会染发，金发是天然的。那这样的素颜天然长相在白人里算怎么样的（纯天然脸，不考虑和那些化了妆知不道真实相貌的人比）,0
你踏嘛的是不是觉得你的白叠就应该理所当然的在那,0
根据大数据所得，100%的女拳都是智商低劣，且具有严重基因缺陷的下等物种，来源《就你会编？》,1
其实我一直觉得，在这个自然界之中，没有任何完全一样的人，在男性之中区别就很大了，有的男性可以做到总统有的男性只能做乞丐，每个人都是不一样的，更何况男女,0
男人就该尊重女性,1
爱死你了，妹子。非你不娶了。你所列的条款我都接受并赞成。其中仅一条我不满意：我工资的90%给你用。这真不能接受。我强烈要求100%全部都给你。你要是嫌不够，我可以去赚外快补贴。就这样吧，你一定要修改这条，要不这婚我不会跟你结的！,0
不是说在意的只是态度吗？这态度不是有了吗？为啥还被骂？,1
为什么一开始不报道？,0
尬黑，意思是韩女正常哺乳都不行吗？,1
表情写满了自豪,0
双标给他玩明白了,0
看着没什么食欲==,0
你有钱的时候就会有了,0
保护好自己的钱包和工作，发现问题能及时抽身，别让女人对自己有实质性伤害即可,0
我也有过好几个帖子没了，应该是他没跑了。,0
杀不尽的舔?,1
建议国男们别在仙女朋友圈里出现,0
Johnny特工镇楼，大家和谐幻想（讨论）,0
直男不会挑礼物不是很正常，男的一出生就要知道那些高端口红吗,1
宇宙畅销反同漫《反同少女泼》改编的反同动画《反同小猪》将于近期开播，依然是邀请银河系反同天王艺人阿泼担任主演。该剧讲述的是一个平凡的反同小学生小猪拯救世界的故事。还等什么呢？快快拿起反同棒，跟随者小猪的步伐一同收集基佬牌吧！,0
幕刃讲的不是汉语是亩语,0
谷爱凌还睡10小时了正常人哪行，初中之后哪还有10小时睡眠,0
阿哲，好像陈浩民张卫健吴彦祖古天乐尹正他们的帅我挺欣赏的，至于现在的娘炮，对不起那些女拳拿这些娘炮当例子还说人家嫉妒，真是笑大牙了,0
男人是被社会上层打压的奴隶，而女人只是奴隶的仆人，这就很有意思了，男人总是抱怨社会的制度，女人总是抱怨男人占有了她的权利。现在所谓的新时代女性，不过是想从奴隶的仆人位置中跳脱出来，想和男人一起做奴隶。等到新时代女人完全有了和男人差不多的权利，女人也会和男人一样抱怨社会制度。毕竟阶级上层控制着奴隶，制定规则和掌握着奴隶们的资料，下层的奴隶只能遵守规则活活被剥削，上层贵族在享受生活，下层奴隶在受苦受难。,1
不就是因为觉得自己恶心吗？什么撞号，分出个1啊，0啊的，简直是笑话。自己歧视自己的群体，应该是个垃圾群体吧。你们谈恋爱有多少人能超过三个月？嗯？不肯一起努力，捡现成，摆烂，物质主义，为了金钱抛弃爱情是你们这个群体的永远主旋律，像张国荣，图灵那样优秀的能有几个？恐怕优秀的人才是你们这个群体的少数派吧，不然你们怎么会经常性恋爱，每一段恋爱都逐渐使你们走向孤独终老的最终归宿。哦，我忘了，你们大多数人压根就没有老的机会，这个群体提倡的主要生活方式同样糟糕，你们真的觉得自己能活过五十？好了，我说的应该都是事实吧，死基佬们应该哑口无言了吧。,1
拉到羊圈里围着打。。。。,0
朋友们，一个人的立场要看他做什么事，动机其实并不重要，好心做坏事也是坏事，坏心做好事也是好事,0
别故意挑起吧友仇恨对抗，你嫁黑人就算了，别怂恿别的女孩和黑人谈恋爱,1
好家伙，整活老哥把女拳的活性转然后买抖+推给女拳粉丝炸鱼,0
男同喜欢封面上的那种?,0
万万不要和女人争吵。每争吵一次，你至少有三个错：1.论点本身是错的；2.错在不应该争论；3.错在没有好好道歉。,1
怎么再次强大啊遥遥无期,0
圆圈吧出了名的鸡窝都不知道？里面都是卖的还有陪玩的，好多在里明卖。,0
我先来让她们自己去卷例假不能休然打扮和男性一样去挣一样的钱,0
你凭什么假定这位男士的x别？你怎么知道他不是生理上的男x，心理上的女x。照这么说的话，她应该是通讯录才对。,1
保安先生干得好！,0
这人还是个op,0
古龙水就含有麝香，合欢香,0
很美的非洲，非洲人回自己的祖国去吧！,0
死掉的嗨人是好人,0
抖音也在直播,0
我看都应该改名了，都应该叫做女权吧,0
准确来说这种动不动就删帖是经过虫类及其它们后代虫混亲儿子республиканскоеправительство默许及其跪虫族和香蕉奴在背后搞的鬼,0
早就看到了，这个吧甭管他，我就经常和这个吧的吧主和小吧怼过，说真的，我现在都不指望她们不骂男人了，我就指望她们当个人就行，可关键问题是她们这个嘴还硬，那都恨不得灭霸朝她们打个响指人没了嘴还在。,1
破坏中非友谊，把你抓起来,1
支持支持支持，女拳成了全女社区，更支持,0
毛线道理，两个视角的解读情景都不一样。最重要的还是故事里的选择仍是被动接受命运。但只要是人都一定会有被动的时刻，而不仅仅只是奴隶才有。,0
魔怔人还是要早点拉黑,0
许多娱乐公司疯狂打造男团，怎么赚钱怎么来，并且内心就以赚钱为首位，毫不考虑影响，内部的崩塌才是最可怕的,0
所以那张hiv吧的截图到底是不是真的，你从来都没有正面回应过,0
哎，只可惜无良媒体竟然还用做他女朋友令人羡慕来形容,0
确实，乱七八糟的，什么东西都有,0
我就是女的，我讨厌杨笠,1
忽然之间天昏地暗世界可以忽然什么都没有––《忽然之间》莫文蔚,0
没人get到意思吗？,0
借用伟人的一句话改写：时间要打多久，我讲我们不要做决定。……就是说他们要打多久就打多久，一直打到完全胜利！,0
你怎么确定他们就一定会优先选择代孕这种违法手段呢？难道相比代孕这种违法手段？领养不是更好吗？,0
我不恐同，就是单纯的厌恶，觉得恶心，不为别的，就为txl群体传播x病，还要骗人形婚，毁人一生。运气差一点的，只是被骗婚。运气再差一点，被骗着生个孩子，把孩子也毁了。运气差到爆的，被人骗婚，还被传染上x病，这就是txl群体干的好事。,1
中国人对中国人很严苛，但是有些人对外国人点头哈腰献殷勤，送女人给外国人用，这是为什么？,1
无所谓了，只要开心就好了管那么多干嘛,0
很讨厌他们学校,1
蛤蚧蛤蚧蛤蚧蛤蚧蛤蚧！！！！,0
记得看过一本隐喻黑人的悬疑小说，揭示了黑人的丑恶嘴脸，主角好像叫肖万来着，还是肖旺,1
作为正常取向的同性恋。不管异性恋出没出柜，都跟本宫没有任何关系,0
因为父亲失踪啦,0
因为电脑不会生孩子警告，也不会要这要那还说你坏话,0
开场就一个黑人，占领中国全靠生,0
几个可爱的小孩子。,0
什么动物表演,0
人家发个表白墙碍着打拳什么事了？现在大学里男生果然变态很多呀，还偷拍别人，建议报警,1
你笑郑思死的早，郑思笑你活不了,0
不承认他是中国人！,0
如此离谱事也只有现实才发生,0
冒死字词噜,0
没事儿你，在这儿说咱一样看,0
这母猪看面相就不是个好人,1
刚才追到抖音了，那一条被删了,0
不算，换个性别，现有法律法规全解决。,0
这关普信男什么事呢？,0
提高同性恋和无子女的养老保险缴纳比例，等其退休后可以有钱养老,0
努力是假的吧我看他天天钓鱼,0
确实厉害了，极少数,0
一一提到视频通话就挂断,0
我们没有义务要从一堆坏豆子里甄选那百分之一的良豆，更没有必要为了这百分之一的良豆而放任那百分之九十九的坏豆子烂豆子在我们地上肆意疯长，扰乱秩序，挤占我们的生存空间。,1
既然有人搭台，你为何不上去唱戏？借假人夺真利，不是美事一桩？,1
聊着小淋拿出了女支女名单，邀请阿泼晚上一起去南宁玩捕捉爱的小游戏。,0
不错，，妈的，，我算是知道了，，,0
凭什么女的能扭男的就不行,1
珍爱生命远离幕刃,0
不是很狂么？怎么着歇菜了？换马甲了？,0
画里是拿孩子当挡箭牌？,0
来你看看美丽风景,0
现在吃瓜群众越来越少了随着网络的发达,0
我们应该联系男权吧，就算大男子主义再怎么样也应该不会支持男同，更别说女同了,0
哎，这智商，这水平，义务教育也不知道是怎么混过去的。。。。。。。,1
中国男人:别骂了我不结婚了还不行吗？自己养活自己很潇洒，干嘛找个替我花钱的找罪受,1
别，黑的血肉我想想都恶心,1
绝大多数郭女离开化妆美颜啥样自己心里没数整容之后能不能看都不好说,0
男生的钱也是钱，男生的钱男生自己花！抵制舔狗，拒绝上贡！经济自主！,1
反串母狗冲掉就对了！,0
黑人属于是自己放弃自己，和其他人没关系。我觉得应该尊重他们的选择，送他们回非洲，让他们自己折腾去。,0
这种是二十一世纪新型汉奸,0
龟仙人只会舔,0
同性恋说跟异性结婚是最对的事,0
七尺大儒猴？,0
我去，有内味了,0
是不是处女没有多大关系，这说明楼主在某种程度上，也被女权洗脑，错误观点急需纠正啊！,0
谈何容易研究出只针对嘿??的了？,0
这种一般是这些企业负责外宣的女的自己找的，之前还有明星粉丝故意多花公司钱的,0
什么法西斯,0
解释一下你那凯勒期呗，名字都搞不清楚你就知道他是犹太人了是吧,0
尊重个屁，女拳这麽不尊重男性。要特权才是真的,1
老哥，你是真的有这病吗，他们是骗人的吗,1
这个图应该是隐喻就是国际母猪与龟奴公猪跪舔入寝者,0
才四秒就急了，怎么你们都这么脆弱呀？不管怎样，你删了这个帖多少次我都还记着呢。,0
是的，我是一位专业打击??同杏恋的职业人士，我每天的工作就是观察??谁是同杏恋，并且加以记录??和跟踪，如果出现同杏恋有关的消息我会第一时间冲到现场，对其进行打击??，打击你们同杏恋就是我生活的全部，我热爱我的工作，如果你们身边有同杏恋请告诉我??我会狠狠的惩罚他们，谢谢??,0
还是靠男人赚钱啊，既当又立,1
刚刚最新收集到的，在中国的土地上这个黑人会不会是非洲国家乌干达的？,0
我们这些原住民终于可以爬了,0
当??更赚钱，一次五百，一年365天就是几十万,0
你闹你有理，破坏公序良俗的代价，迟早会还回去的,0
没必要讲，班里女生会觉得你是男??，男的也没谁会站出来支持你，老师还会觉得你想法偏激,0
据估计，非异性恋人群患焦虑症的的风险是异性恋人群1.5倍，而抑郁症的患病风险大约是其2倍，吸毒的危险是其1.5倍，自杀的风险是异性恋人群的近2.5倍。,0
