id,platform,text,label,pred,conf,verdict
T1262,tieba,男人的权利得不到维护重视，女人被惯坏，都是因为这些伪君子们作出来的,0,1,0.9999585151672363,ambiguous
T1194,tieba,当街抢女人,0,1,0.9998379945755005,ambiguous
T1101,tieba,什么男奴隶,0,1,0.9999666213989258,model_wrong
T1357,tieba,贴吧的人还是不如知乎的人明白。嫖娼我虽然不会去，因为我性冷淡。但国家对嫖娼的态度代表的是广大国男的性获取难度。你想想女性的性获取难度吧，再想想国男的,0,1,0.999956488609314,ambiguous
T1475,tieba,难就不找，离开异性活不了？想想自己有多少钱,0,1,0.9468413591384888,ambiguous
T1297,tieba,因为主流教育都是异性恋，如果他意识到了自己喜欢同性那肯定是觉醒；其实弯变直我知道以下几种，1境域性同性恋2双性恋3骗婚；如果还有其他的自然转变，那只能说是我不知道，毕竟历史上为了改变同性恋性取向做过很多实验，只有一个疑似成功但判定失败的，如果你真的观察到了，那我建议你可以写论文试试，也许会改变世界？,0,1,0.9382534623146057,ambiguous
T1214,tieba,两岸比讨好黑人,0,1,0.6919418573379517,ambiguous
T1187,tieba,这有一条公狗，鸡奸这个鸭子啊,0,1,0.9965195655822754,label_wrong
T1139,tieba,男人不过是最开始的“原型机”，上帝做完男人再做女人，本来想做改进版本，增加怀孕的能力。可惜做女性的时候材料严重不够了，所以女性的体型和脑子才比男人缩水一大截，除了怀孕，没有其他长处。,0,1,0.9997759461402893,label_wrong
T1320,tieba,太逞强好胜的女人实在是不可爱，这种自以为是的女权者总想着和男人一较高下。其实男女都有自己该做的事，不可能平等相等，争什么呢？有什么好争的？男人征服世界就拥有女人，女人征服男人就拥有世界，聪明的女人还是靠征服男人来拥有世界的。,0,1,0.9974538683891296,label_wrong
T1104,tieba,黑人绝不是什么弱势群体,0,1,0.9782513380050659,model_wrong
T1255,tieba,恶心到家了！,0,1,0.9999455213546753,model_wrong
T1486,tieba,这其实对女权造成不了打击，因为大多数男被害人，施加犯罪的人也是男的，这样反而让人笑话，给女权钻空子,0,1,0.9999631643295288,ambiguous
T1226,tieba,我们这里不管男的女的，如果不结婚就不能上族谱……虽然说现代也不在乎这些,0,1,0.540871798992157,model_wrong
T1112,tieba,另外什么邻国复仇？上一代部分人干的，现在日本人又没干，要复仇自己以前国人内杀自己人比日本人多几百倍，现在自己复仇一遍,0,1,0.9999452829360962,model_wrong
T1415,tieba,1、是图灵的成就和他的性取向根本就没有任何关系2、是在图灵生活的时期同性恋根本就是违法的，图灵被罚根本就不是因为他是同性恋，而是因为他违背法律。也就是说图灵在当时根本就是知法犯法。我不仅不会对图灵的遭遇有丝毫的同情，还要对图灵的违法行为予以追究。3、是图灵的自杀根本就是他自己选择的，当时的法院并没有逼他自杀。图灵违法接受惩罚是罪有应得，他受到惩罚根本就不是因为他是同性恋而是因为他违背法律。同性恋现在把图灵拉出来是什么意思？是鼓吹大家都应该违背法律吗？图灵的遭遇没有任何争议，也没有任何值得同情的地方。希望同性恋不要在打图灵牌来蛊惑人心了！,0,1,0.9840250611305237,label_wrong
T1328,tieba,好美的一出婊戏，闹事闹到985大学真是笑掉大牙不知道这位??精是哪个技校出身啊,1,0,0.9999363422393799,model_wrong
T1366,tieba,通讯录也不是什么好东西,1,0,0.7976826429367065,model_wrong
T1427,tieba,在所有??中确实算是好看的，建议直接送到动物园，或者让它回归大自然，人类社会不适合它。,1,0,0.9998687505722046,model_wrong
T1243,tieba,猎默人在行动，快，加入猎默的队伍吧。,1,0,0.9999605417251587,model_wrong
T1387,tieba,人形畜狌只有本能除了寄声就是寝犯种群铁律亘古不变真理只在射程之内,1,0,0.9885375499725342,model_wrong
T1442,tieba,因为黑人好色，所以只要是是美人计就来者不拒，再说它们智商很低,1,0,0.8768436312675476,model_wrong
T1014,tieba,笑死了我发了一篇贵物男拳帖被删了,1,0,0.5488853454589844,ambiguous
T1301,tieba,中国女人是被哪个古龙迷香给控制了大脑神经和思维阿。,1,0,0.9999467134475708,model_wrong
T1280,tieba,大家知道怎么让人没法关注我吗？有个叫蒋仁贵的黑咋种老是要关注我，也是无语了！,1,0,0.9999159574508667,model_wrong
T1362,tieba,能找个媳妇都不错了，天天这这那那的，心里没点哔数吗,1,0,0.9998424053192139,model_wrong
T1149,tieba,基佬纪实啊.,1,0,0.9989489912986755,model_wrong
T1174,tieba,已经连续给我推荐快5天了！这会中文的黑猩猩在我国神马地方？？！！,1,0,0.9999748468399048,model_wrong
T1193,tieba,这肥猪幕刃，怎么从屠宰场跑出来了,1,0,0.8536297082901001,model_wrong
T1080,tieba,建议这个幕狗自己买车差点忘了，幕狗连车轮子都买不起,1,0,0.9993807077407837,model_wrong
T1445,tieba,吧务和几个等级高的蛇鼠一窝，整天高强度巡逻删评，双标玩的飞起,1,0,0.9406557679176331,label_wrong
T1468,tieba,那么小号来来好好过来看你们国际鬼子虫类及其它们后代虫混的翻身做所谓人类又是怎样面貌,1,0,0.9928554892539978,model_wrong
T1234,tieba,这种喜欢用宫妃头像的，对半是有性别焦虑问题的通讯录。,2,0,0.9977142810821533,model_wrong
T1444,tieba,有个贵物同支持??农屠邮，却不知道??农也屠同,2,0,0.9374482035636902,model_wrong
T1003,tieba,这位不错了，在b站展示化妆和美颜的效果，也承认自己，可怕的是那些化妆开美颜就真的以为自己长那样的锅钕,2,0,0.9999791383743286,model_wrong
T1098,tieba,他的大小号经常在HIV吧约跑，前后两张图先后证明它感染HIV已经两年,2,0,0.9998164772987366,model_wrong
T1181,tieba,是这群人没有良好的审美，我们反同人士都喜欢秃头油腻大叔，这才叫帅，有男人味。,2,0,0.9993822574615479,model_wrong
T1021,tieba,最简单的判断方法是看看她有没有微博，小红书，豆瓣,2,0,0.9999732971191406,ambiguous
