text,pseudo_label
好像精神状态不太健康,0
李荣浩：我对你心肝，李荣浩对李白。,0
女版华晨宇,0
作为一个歌手尊重歌曲本身概念是应该的吧……,0
他是不是??不正常了，唱的歌都神经兮兮的,0
静音看的视频 我以为唱的QQ爱呢,0
这歌词这动作 没一个好疼好看的～是有内涵的人在这么多人的演唱会能干出来的事吗,0
去医院看过吗,0
像冷宫里疯了的妃子,0
李健老师看到这段视频要无语死了,0
尴尬。这首歌歌词就是好想谈恋爱这句吗？想就去谈呗，这是在干嘛,0
走疯癫路线,0
他为什么一直撅着屁股？,0
她公司没让她去学一下舞蹈，教一点基本的舞台动作吗？还不如安静的站着唱，张牙舞爪的体态看起来很差。,0
能不能把这种人封杀了！！！真的带坏年轻一辈！,1
就这我也能上去嗷两嗓子，我肥肉还能抖三抖呢,0
年轻人，不潜心于作品，只想红,0
有??吧,0
她的精神状况还好吗？,0
被夺舍了吧。。,0
老天奶，真服了，这是干什么？？？。。。,0
好像精神状态不太健康，全是资本推出来的,0
终于可以说单依纯唱的李白是一坨了，还有之前唱的那个，不知道是一群什么成分的东西搁哪里维护,0
跟疯婆子似的,0
真的感觉不太正常啊,0
在发什么疯？她,0
路过 这是在跳大神吗？,0
病情堪忧,0
这家伙是嗑药了吗，好癫狂,0
等一下原唱是这样唱的吗？,0
小心私信,0
她怎么了？,0
欧米茄,0
自以為是的瘋癲人士,0
太吓人了点进去,1
她仇人看到她这样唱歌也该释然了,0
实在忍不住，这好听吗？好看吗？到底谁在喜欢这风格,0
？,0
那里来的疯批,0
这是哪个精神病院跑出来的？,0
像公费发疯,0
害怕害怕??发抖??好恐怖??,0
动作像熊孩子想买东西家长不给买于是对着家长撒泼??……我讨厌的人终于被发现了。,1
这种人成了巨星，会带坏小孩子,0
确诊了吗？这样我很怕伤害到其他小朋友,0
疯了吧,0
造型和衣服也很拉,0
艺术可以创新，但不是发神经…..,0
荧光棒都僵住了,0
谁捧上去的,0
为啥有种满身囊肉的感觉,0
哪一家没关，让她跑出来了。,0
谁懂啊，我静音看的，她咋了,0
