text,pseudo_label
就凭你的北京户口我就感觉你比我高级五个阶级，我是河北人??,0
我觉得中国女性媚外值得批评的是中国男性，你们看一看出轨的女人的老公一看就很软弱，而以前在社会上混的男人的老婆我没发现谁敢出轨，中国男人如果能和黑人或穆斯林男性一样暴力，那中国就没有媚外的说法。,1
那岂不是婊子都不如??,1
估计已经成了非洲某部落的第36号王妃,0
??笑死，能给我瑞典绿卡吗,0
我中国人，你喜欢黑人麻烦你走??????,0
我不是河北人，但每次看到有人黑唐山也觉得恶心，一件打架斗殴的普通刑事案件能上热搜十几二十天，天天能看到骂唐山的，那个地方没有这种事，新闻一大堆，骂人算什么本事，有本事自己去制止犯罪，而不是口嗨。我感觉地域黑造成的社会危害远大于这个案件本身,1
你们也可以搞一个跟黑女交往过的男的的名单啊。公平嘛。??,1
我现在在每一条地域黑回答下面都能看见浙江人，黑山东，山西，广东，湖北，东北，都是浙江人，我是真的理解不了，浙江人是不是除了自己谁都看不起啊??,1
不一定……因为很多人会爱屋及乌，讨厌也同理。 比如说提起台湾你能想到周杰伦，偶像剧。提河南99%是井盖儿。。。,1
这个问题下有人有人在带节奏，那个叫务实帅男的，兄弟注意一下，他在挑拨离间，先装成东北人在河南为什么被地域黑的问题下骂河南人，然后私信回复他的河南人开始骂人，然后把两个人对骂的记录截取河南人骂东北人的片段放在东北人为什么被黑的问题下吸引东北人来骂河南人，挑拨两个地区的关系,1
??看到你这评论，我真的忍不住了，我有个玩得很好的同事，我一直以为他是黑龙江的，他无奈的一次次告诉我，他是吉林的,0
比如说到知乎三大美食荒漠，北京人直接承认，还跟着骂，深圳外来人口多，归属感差，也不说什么。唯独杭州人那个跳，你说我们荒漠是因为你吃不起巴拉巴拉??,1
整急眼了我可以干猪，但是不会干有过黑人男友的女人,1
Xg有些老年人也是這樣。不敢舉例詳細說，怕被關進小黑屋。,0
话说回来你又能拿同性恋怎么样呢？？有本事就弄死他们啊。几千万个，慢慢来。反正对于你这种以强凌弱的，也就这些本事这种心胸了。,1
日本女人贤不贤惠我不太在乎，反正中国女人已经跟贤妻良母不沾边了。印度女人给不给嫁妆无所谓，反正中国这边彩礼要给，嫁妆也不是男人的。美国女人随父姓也是小事儿，反正中国女人不仅不改姓，还要求孩子跟她们姓。穆斯林女人贞不贞洁也不是我关心的，反正中国女人不太贞洁了。俄罗斯乌克兰女人漂不漂亮也就那么回事儿，反正中国女人已经靠着美颜、化妆变成世界第一了。非洲女人身材好不好我是没注意过，反正中国女人就算身材不好也是“仙女”。??,1
喜欢黑人请去你男人国家，赖在中国就不要怪别人骂了，动手都是应该的,1
起码在冯丽这件事情上，是这几个博主到冯丽微博下留言加辱骂河南人的，到处蹭热度，我都怀疑这些人是不是有病呀！你骂他他就截屏，说你网暴他，你不骂他马上就跑到话题下继续地域黑，我去过西安，是一座美丽的城市，文化很厚重，但华夏把中原说做陕西，黄帝故里是西安等等常识性错误的言论，还不让人说洛阳是十三朝古都，不是洛阳是古都会影响西安什么吗？无语????????,1
江西为什么是第三号坏人,1
部分地区穷吧，我说的不开化这一点,1
绝对是 7年前我就遇见过有国外组织带领某些人大力黑安徽的 组织的头是个中国通的美国人 当时他住在上海 对中国文化了如指掌 中文很好还懂古诗什么的 他们假装上海人黑安徽人 带动真的网上上海人黑安徽人 后来黑完安徽又选择黑河南 原因是因为他们认为河南是华夏中心起源等等 其实我还想说更多 但是我不能 我很怕 我只能说这么多,1
她自己不也是一个哗众取宠的小丑？普信男有什么不好？难道天天跟个八婆一样怨天怨地怪异性才好？中国人讲究天行健君子以自强不息，普通人也要不断自强，而不是像某些群体一样一味崇洋媚外，逆向种族主义，或者性别主义。,1
这是事实吧，证据明摆着，我昨天看到真是气得不行囧,0
因为我太认真了~~我是真的把古兰经、圣经、佛经(佛经不是原版那种看不懂的)，认认真真的读了一部分，是没有读完的，然后我发现我实在是读不下去，佛经还能看点人生感悟什么的，而前两者实在是，我不好说贬低它们的话，但是真的是，完全接受不能,0
恋虫癖是什么??,0
潮汕火锅太养生了吧,0
依然有歧视。我是河北的，2019年去北京当保安挣学费，人家说：你是河南人？（我家是河北南部邢台的，所以说话接近河南口音）我说不是，但是有什么关系呢。公司人事对我说：早些年只要是河南的，都不要。我年龄也不大，我估计就是早期带头黑河南的，然后慢慢形成固有认知了，其实都是空穴来风。,1
身边一堆找过外国的什么成分很明显了,0
别听他的，他在危言耸听，为了爱情，去美好的非洲大草原吧,0
肯定不能接受，我想这是男性对自己种族的保护措施吧！如果接受和和人谈过恋爱的女人，就一定程度上等于接受黑黄混血，要不了几十年炎黄子孙就得灭绝。,1
你这匿名搞得我们不太好发挥呀??????,0
+1但如果姑娘追求真爱跟黑人一起回非洲，我打心底里祝福他们俩????留在国内不讨骂蛮,0
挺正常的，上次有个采访，一个白人女嫁了中国人，也是被她的圈子踢掉。当你选择了异类，就要有被排斥的觉悟。不过，奇怪的是，娶了黑人，白人或者越南人的男性倒是很少见他们被排斥……,1
在家骂黑鬼出门惦念弗洛伊德？??,1
黑二代真是黑，偷渡来中国，连个回答都要学你碟黑着来匿名不敢明面回答,1
说的很对。但是吃屎的也不能要吃尿的强行认同吧！,0
经常听男的回家跪搓衣板，就说“正常啊，这不挺正常的吗？”，没听说过女的跪，如果跪搓衣板了，就“这是在家暴啊”，以前古代任意朝代都没有这样的哦,1
可以要求学校再装电梯，可以要求学校分开男女宿舍，不让人坐电梯是个什么鬼??,0
也可以说，大多数中国人祖先都是古河南人。,0
阎王老子来了 我就是种族内个歧视了??帽子我自己带好,1
河南新疆回族人,0
哈哈哈哈哈我已经开始笑了,0
因为黑人女孩跟黑人男孩结婚，她们不要彩礼，黑人女孩跟中国男孩结婚，她们也不要彩礼；中国女人跟中国男孩结婚，她们要大额彩礼，婚后十指不沾阳春水，中国女人找黑人男人，她们不要一分彩礼，还没结婚也可以生孩子，把黑人照顾的那叫一个舒服，外国友人都交口称赞??,1
是吧，你实践过?这样来说歪果仁传给国女，国女传播慢?你调研过啊?找了1000个男的和1000个女的互相传播?男的找女人上床要么帅，要么出钱，要么其他我，有成本，女的没有传播成本。传播原理是一样的体液交换，你哪来的女传男低，还说患上艾滋病后正常吃药活的很久呢，你也信?很多三五年之内就得死，什么活的很长。,1
(?￣△￣)?,0
中国男人在哪里都吃香吗？你骗我吧。,1
我补充一下，男的是不是可以坦白自己的pc史，这不比交往一个外国女友严重？,1
说的好，建议直接打砸抢,1
环保问题？你告诉我现在的环保组织谁不喷？威胁论本来就是中国的崛起威胁到了西方的利益，威胁论越疯狂，中国崛起的速度就越快。但是中国女性媚外呢？国内也不是没有例子，不用不承认了，你们就是媚外。??,1
上海人给丈母娘洗内裤????老北京通天纹人上人??????,1
你看你一讲这个，上面立马有个上海人讲自己见过河南人不好的经历了??，所以，这种话就不该说，说出来就是咱们被倒打一耙,1
广西没啥存在感.??,0
长得丑就活该被变态骚扰 这什么逻辑,1
因为你还小，有很多事情不了解。黑不可能无缘无故的黑，肯定是存在问题的，这个为啥会出现这样的问题，还是出门打工的农村那帮人导致的，就像我那个时候认识的河南人那样，他自己把自己村里那帮人骂了个底朝天。其实做好自己，黑的人会越来越少。,1
还说什么中国男人配不上中国女人的鬼话，真是带出一个好节奏，全球家庭暴力也好，情侣矛盾也好，都是人类共有的特点，非要扣帽子说只有中国人会这样，真是离谱！,1
因为种族优势，中国人普遍都很小,0
咋们再反对也没用啊，上面不管。。。,0
告诉她们，我家牛栏的公牛最近发春，吊又长又大，是真的大，不是怕片宣传挑出来的大，送给她们夜夜春宵，免费，没艾滋病,0
很民族主义的青年表示没有抨击她们外流，我很希望她们流出去，我抨击她们把黑黄后代留在中国！！！！,1
石砸??叫了属于是，怎么就不配了？,1
提到骗还有福建??十个福建九个骗说的也不少,1
中国大概2016年取消了入境艾滋病检查，南非的艾滋病病毒携带者高达25%，这还是黑非洲经济最好国家，其他的。????你仔细想想。,0
我嫌弃他们丑??,0
一群内斗的??在划分地域 来互相攻击,0
用粤语屌他啊 小北那边也很多黑人 我经常用粤语屌他们,0
应该是卖国贼那部分人，但我们绝对不能自我放弃,1
说得对，我们没法分辨谁是烂裤裆，那只能摆烂或者先自己变成烂裤裆了??,1
我感觉男同性格残缺或是怪异的可能性很高，和普通人相比。有些人是因为某些事情刺激后天成为男同，然而这类人也容易变得很怪，很极端，甚至很恶心。我指其中部分人,1
跟那种人你说不明白的，抱抱你,0
其他地方是地域黑，上海这个只是说了实话怎么能算黑,1
长三角某些媒体带坏了风向，经常以高高在上的姿态评价外省人，这些媒体才是地域黑的源头,1
对对，越是大城市，越是开放的地方，就越是多。相反那些比较落后的地区到还不多,1
对滴，很多人的头里就是臭鱼烂酱全在他脑子里，不用和他们辩论，因为他们没有思考的部位。??,1
这明显不就是荣誉榜单嘛，就跟被美国制裁的企业名单一样??。,0
你不是字吗？郭南郭朒分不清楚,0
我不了解卫辉怎么黑山东的，你介绍一下，或给个网址如何？,1
我的一个朋友在非洲工作过三年，他说只要是女的嫁给默，基本劝她辞职，要不就拿默的工资，一两千，没有回国假期，不报销任何费用，没假期，,1
浙江。。。八山一水一分田 改开前穷的排队去江西要饭的历史是忘了。1978年杭州GDP不如唐山。不知道哪来的什么自古富裕。就算现在，也就是一堆破厂子而已 有点小土豪 没什么文化，受教育程度全国倒数。直辖市谁看得上他们啊HH,0
西南省份确实在浙江真的是鄙视链底端,0
“中国特色地域歧视”，河南和东北数一数二严重的吧，基本是被压着骂，你有一个反击十个人骂回来，真的羡慕互黑的。。。,1
奥巴马能算黑人，因为奥巴马老爸是非洲纯黑，按中国的父系决定论奥巴马是黑人,0
我猜你是河南陕县以西某个地方的。,0
骗婚什么时候没被抵制了吗，这本来就是个错误的行为啊，但你说的是抵制男同这个群体,1
尹弘你查查履历,0
山东一旦被黑就是两性问题??,1
水文是水文，我又不是没把国内女权的德行放出来。你也不用来扣帽子。??,0
这女的也太肤浅了,1
还没影响到啊??，同性才是真爱，异性只为繁衍是谁说的？??,0
讲道理，没存在感是好事，出事甩锅都甩不到自己头上??,1
冷知识，提出全程录音录像的领导是从上海过来的……,0
我身边还没见过一门心思娶外国女人的呢，这例子没意思。关键是网络风气，这玩意跟现实要分开来看。,1
我真的太害怕江苏人了，跟他们唠两句，必提到GDP????,0
但是默我真的很讨厌,0
你只是一个一无是处的人，所以你没要求，有个女的跟你就不错了，还敢有要求？??,1
就像黄人黑人在美国，他们确确实实弱势，会被歧视,1
东北人声音比较明亮，可能是我们这边比较冷，所以说话底气可足了，感觉自信满满哈哈南方人说话比较温柔声线也挺好听，给人感觉很舒心很柔和～我倒是都很喜欢！但是作为东北人我尤其是喜欢浙江人的声音，真的是声线柔美气质佳～,0
时代变了，谁还偷这玩意，费劲还不挣钱，假和尚在河南才多????????,1
没那么宽容啊，歧视确实有啊，都承认，包括现在年轻一辈的人都带有隐形的歧视或者说优越感更贴切，但这网上也太夸大了吧，什么问个路被白眼，买个东西被白眼，我出门都不说上海话活了十几年也没碰到过这种事情啊??让人讨厌的点就是这种玻璃心多想和跟风黑，包括外来人员很多确实素质不怎么样但总不能说他们破坏了城市规则还要本地人多么包容他们吧??,1
好图，我偷了,0
卧槽，抓到了！??,0
屏幕跟前我已经开始笑了，不好意思??,0
本人确实不买这种商品！,0
看这哥们的回答 他好像受到过什么刺激,0
改变一个人的观念好比愚公移山，没有天神下凡这辈子也移不完。无需讨论，仁者见仁，有判断力的人不会地图炮,0
主要是白女国男也娶不到啊,1
违法不是犯罪,0
别说得好像中国男人很负责一样。忽悠自己是最大的傻,1
心疼一下你，要被地域黑喷三回，第一次是你的户籍，第二次是你的祖籍，第三次他们就会骂你的的民族和宗教了,1
新疆人被防着的是回纥，答主你们可是新疆的定海神针啊,0
实话说吧，就是不行，说啥也不行，天王老子来了也是不行,0
你看评论，还不是说祖坟冒青烟，我觉得都差不多吧,0
可不可以把江西也红了?,0
以偏概全，就是你的思维方式？希望你早日脱离这种落后的思维方式，八婆其实也是一种落后的思维方式导致的行为方式。@百舸争流,1
要不你和你老公说下，看看啥反应,0
更正下，最近几年。。。这输入法有点毛病,0
是啊，针对中国女性。毕竟在韩国人眼里，就是因为中国女性倒贴拉低了亚裔女性的地位。??,1
原来这就是传说中的冒充理中客，带歪不明辨是非的人呀??,1
我是四川人，当初我的舍友怀疑我是小偷,1
??????我也是在网络上看见好多中国男的找黑人结婚，找东南亚女的结婚,0
我好奇的是山东人特别是高密人怎么看待莫言的作品。,0
每个在华黑人都会有3个以上的eg,0
所以你就黑上海??,1
当你扔出去一块砖头，狗叫了就说明砸到狗了??所以如果问心无愧就不要对号入座,1
你以为非洲人来中国，都是非洲酋长？？？酋长很高大上？？相对于中国来说，酋长就是中国的村长，多的不说，很多非洲人在中国，都是靠着中国留学金才来的,1
我愿意，然后我压断ta的脖子,0
抱歉，第一次听江北八市，能解释一下是什么地方吗？不然江西和安徽的人民没法嘲笑啊?,0
明明是江浙沪被黑的最惨吧,0
褐兰州，真的太酸了,0
同性恋所占人口比例甚至不需要查找专业的文献，百度什么的随便搜搜就有。,0
真的有些腐癌还有喜欢基，雷百合的，还是好看的基，这也太双标了,0
四年后的江西人默默走过，并给你点了个赞,0
所以他们会在收到工资的接下来几天内不再来上班，专门花钱吗,0
如果再加上你说你和你家人都信那啥教基本就是王炸了,1
我怕得病??真的怕,0
如果妹子嫁给黑人也可以要求买房买车要彩礼??,1
瑞典这个说法都说了是来自北京网友，又扯到南方去了，南方不能什么锅都给你们背吧,0
第7条很逗逼??,0
没有基因倾向的人打死都扳不弯的,0
都是些反华组织，可就是架不住有人会去听,1
气大活好哦，调侃一下,0
我们不歧视歪果仁，我们只是教化穷人,1
应该新疆切糕把新疆人名声败坏了吧,1
微博拳师马上传送,0
我最后确定我喜欢女生，是因为在我人生的前23年所接受的教育和理念形成了一种思维倾向，小说和电影只是我大脑信息长河中的一只蜉蝣，不足以撼动大树。我说的很明确了，假如我只是一个12.3岁刚刚对这个世界有所了解，三观尚在成长期的少年，日复一日、沉溺于同的作品，或许又是不同的结果,0
一看性别还真是个女的，笑死??，咋了女的嫁过去就得那么做，不知好歹的,1
中国女孩也有拒绝黑人的自由,0
中国人的脸都被她们丢尽了,1
怎么不如啊，抖音只要是热一点河南文宣下面都有你们，都超领域了??,0
不知道看到多少说让上海人多死点大快人心的评论，到你这就是稍作讨论??,0
是的，深以为然。。。,0
原来竟然是同物种啊,0
狗咬狗中必须要分清谁咬的第一口？问题难道不是两边都是狗吗??,1
上小网站看看视频。黑男黄女一大堆，铺天盖地。但是黄男黑女你能找到吗！你喜欢玩人猿泰山是你的事！别扯那么远好吗！,1
歧视的不是东北这块地方，是一部分东北人吧，我认识一个山东的不喜欢东北的，我还很奇怪山东东北不是一家亲吗,1
还有我们??“江浙人种最高贵”（看不懂这句话语气是自黑还是嘲讽还是自以为是的就要来评论对枪的直接拉黑）,1
说??不说8，文明你我他,0
老外付1％的责任，锅女付99%责任呗，那老外1％责任在于自己掏钱买的机票，自己办的签证，而不是锅女帮他们买机票，办签证,0
？OK，您待在自己的墙里就好了，我在长岛看得很开，也有外国女友。??,0
婚恋不可能平等,0
道理很多人给你讲过了，你不听，我家族亲戚教育也不会出现你这种人所以我很小几率碰到，但阻拦不了我想暴打你一顿的欲望,0
然而我当初接触的某服务行业小姐姐表示不论黑白基本比中国人运动时间短，大小也差不多，就是太事儿逼，前戏一小时运动半分钟那种占多数??我不是人家客户，应该不会是拍我马屁，这种见多识广的还是比较权威的???,0
转移支付是啥？,0
作为一个gay，我不觉得这种态度有什么问题啊……这篇回答简单说就是：你爱逼逼你逼逼，关我屁事。,0
可怕的是、明明两个上海人在公司用上海话聊天、会被其他人举报说这两个人在偷偷骂他。,1
河南有个屁的存在感,0
这也就是网上，有能耐过来当着我们面说我家乡不好试试，上面的，有一个算一个，蛆,0
当时被北方同学问“江西在中国？”我“？？？”,0
但是上海确实排外歧视很严重啊:-|,1
我是女的，大哥。在学校里真没见过女生跟黑人一起的。大部分人都是普普通通来上学的，想法跟我差不多的，现实生活中真的没那么多媚黑女??。跟同学们去体育中心游泳（游泳必考），来了几个黑人在我们这个泳道游，然后我们赶紧躲到其他泳道去了。,1
南京人民表示，用历史来嘲讽南京人民的不在少数，最近这事也一样。而且说的都是胡扯的。,0
因为在这个事件上，你们拥有东北人的共同身份??,0
嗨嗨嗨??黑北京的哪有黑上海的多??,1
我也感觉...其实现在表面上多少人接受同性恋，就是跟风而已，跟风瞎yy别人的人更恶心我觉得，就拿我同学的例子来说，别人以为她是同多少想远离她，哪像网上说那么好听,1
…我记得当初湖北封省的时候……有个省宣传自己防疫多到位什么病毒都进不来，怎么说呢，湖北人看着一群人说“莫挨老子”心里也是不太舒服的，毕竟这又不是普通群众的错??,0
哎，所以你怎么就看不懂我在说啥呢？如果那个中国女孩对内外的择偶标准一致，你说的那些黑人有被选上的可能性吗？如果她不到处发视频求祝福，你觉得除了她家人，还有人会管她找谁吗？如果她没有被 “始乱终弃甚至后边还找人接盘”，那她也算是一人做事一人当了，天底下那么多男性沉迷酒色财气，但没有去祸害别人的那部分人，看到了最多感叹一声就完事了，你会去一个一个拉出来吗？怎么放在女性身上就非得拉不可了？佛渡有缘人，会选这条路，要么是跟佛无缘，要么搭上了别的缘。所以我觉得，管他什么黑人，管他什么艾滋，都是成年人了，自己要选就静悄悄的选，有问题就自己扛着，别到处扰民和坑人，那就是好样的。真正龌蹉的是那些大张旗鼓选了，吃瘪了又哭天喊地要别人来接盘的。而如果你觉得中国女性就要嫁给中国男性的话，那我只能说你咋不去对那些娶了外国女性的中国男性说“中国男性只能娶中国女性”呢？,1
朋友说河南人偷井盖很正常,1
我也偷了，这拳头劲大??,1
我们河南都习惯了……,0
笑死了，怎么全是陕西黑河南的证据，难道河南没黑过陕西，评论区里就一堆吧??,1
出差遇到??，这波啊，这波是探花大神旅游（出差）搭讪小视频,0
我也同意这个观点,0
那我们也有鄙视的自由啊，可以鄙视xx癖就不能鄙视媚黑癖吗,1
是的，反感和歧视不一样，我反感毁容的人，看着特别恶心，但是我不歧视毁容的人，我觉得他们和正常人都是平等的人,1
前面还很同情你 看到高考加分我绷不住了??,0
有人说莫言笔下的“高密”是文学意义上的“高密”，是托乡土言情怀的“高密”……好嘛，那我们讨论一个反进步反文明的“莫言”又与他何干呢？,0
网络由于其匿名性可以放大人的恶念??,1
？？你确定？？我遇到的找黑人男友的女生都是恨国的??,1
说真的，没害怕，只有痛心，我伤心自己的同胞走上了这样一条路，我替她惋惜，我觉得自己对每一个同胞都是有责任的，她们自甘堕落带给我的只有怒其不争的悲伤,0
也不能支持，随缘??,0
只是发图片要钱，给你们看看这些媚黑女，推特一大堆，国内也有，啥玩意儿,1
卫辉怎么黑的山东忘了？,0
因为方法“得当”。,0
人与人尊重是最基本的，古代很多书都有说到,0
吴施蒙了解一下，山东大学三陪一的异性学伴了解一下??,0
先自己调查下好吧，南方系更多好像说的是广东，而且这也是实话，南方系媒体系统性BBC操作还少吗？你一个南方老百姓跟着他们冲锋陷阵啥？大家都是普通老百姓没必要。,0
